Tweet_index	Label	Tweet_text
61	0	tell me the # quintessential * # aussie * now is not a govt paid job & then have the hyde to buy overseas online and pay no gst . mmm # sad but true *
62	0	 @ username @   dirk's got a lot of moves i am trying to steal.  - kevin durant on his one-legged fadeway
63	1	about once a yr i get a little nutty and reach for the orange marmalade. # living on the edge *
64	1	rogers, that smile just so accurately captures my reaction when i receive an extra high phone bill!   
65	1	whatever happened to the guano apes? did they ever make it  big in japan ? 
66	0	bmw i number  sexy az hell but too slow for the dinero  number . number  in the quarter mile slow # fan * of the design feeling the...
67	0	let your humility guard your pride ... vanity should not be allowed to be with such a delicate thing.
68	0	whenever i get sad about how things are going now, i just think of how awesome the future looks to be. # second semester * # drum corps * # college *
69	1	i asked god to protect me from my enemies .. shortly after i started losing friends :flushed_face::hundred_points_symbol: or # na ah *
70	1	just delivered @ username @ # cro nuts * to @ username @ hmmm its for a customer i hope!!!
71	1	such . you still have to # praise him * ;)
72	0	hey heyy!!!i....want to be a rockstar # vs coca m * hero # v so cam * # hero * # spiderman *
73	1	@ username @ : . @ username @ awk moment when i tweeted first # fake fan * !!!!!
74	0	waa mockingjay part  number  tahon depan meh  number  nov  number  wtvr night at the museum  number  # must watch b  number  december ends sobs sobs *
75	1	 @ username @   @ username @   @ username @   @ username @   @ username @   nice to see the ambulance service is so important to our mps 
76	1	i love finals week! # just kidding * # stressed *
77	0	 @ username @  fucking copycat, although you are name is mint and the act we share it is probably a because for alcohol filled celebration!!!
78	0	literally cried when i woke up because i know what this day has in store for me # the start of tech week * ready # just shoot me know *
79	0	 @ username @  because i disagree w/ you? trading three picks for one when you have glaring holes at numerous positions is ass-backwards.
80	1	. @ username @  . @ username @  oh that makes it all better!!! 
81	0	why did not i start watching the tudors earlier? # i love it *
82	0	@ username @ # christmas * # gift * get started at making money in social media @
83	0	do not knw how to react everytime sum number  says me being in a wheelchair  inspires  them! i am just living they same you are dude
84	0	get aht a tahn! the made in pgh gift guide  via  @ username @ 
85	0	on my lunch break so sleepy:sleeping_face:
86	1	# work trains the grind london business my happy face *
87	1	dude said i better think hard , so he can take me to cheddars lmao ! 
88	0	my # christmas * ritual...part one. # how the grinch stole christmas *
89	0	overcast at creso. # today i am loving * # beach walk * # crescent head *
90	0	 number  cannot end fast enough! stupid dead battery.
91	1	not even  number am and i can already see this is going to be a wonderful day # need more coffee *
92	1	i have an idea, how about  number  operators do not ever describe race?  and police have to wear color blind glasses?  
93	1	 @ username @   but russell is a good christian fella, he would not do that. 
94	0	apparently my youth group thinks  are you kidding me?  is my default expression--or  nomal face.  # are you kidding me *
95	1	@ username @ # psa * hey jay, i tuned in when you said  why all the cocaine talk today....after tweeting coke joke saw it is escobar's  number th
96	0	interviewed a turkey & here's what he had to say # thanksgiving *
97	1	planned on an early night last night.. oh yaa course that happened.. # got in t erupted *
98	1	 @ username @  your last retweet though 
99	1	 number v number  s&d matches are just so fun... 
100	1	i just loveee bein short and having my sweatpants go all the way under my feet its so fun... :pile_of_poo:
101	1	i love waking up at  number  am on a saturday morning after going to bed at midnight 
102	1	a day where  ruled  @ username @ , i got followed by  @ username @ . wht a  day!! lollllll.
103	0	jusuf nurkic # bulls * rt @ username @ : he clearly has a lot of talent. kind of amazing that denver got him and gary harris for mcdermott.
104	0	i do not even have progress on my thesis tas preparations for our event this thursday :weary_face:
105	1	gym and i are going to have a reeeaaalll nice date tomorrow. # i am going to struggle * # vs fs  number  *
106	0	sony pulled a movie bc we are scared of a country that cannot even keep its lights on at night? even motel  number  can do better than that. # zing *
107	0	had a nice  number  hour nap. picking up my chinese take-out and set to watch # guardians of the galaxy * @ username @ i added water chestnuts to my dinner
108	0	 @ username @   @ username @  the bears are probably the worst franchise in football at the moment.
109	1	i am so pissed off at chicago. like the people at the airport ruined so many peoples chances of ever meeting the boys :expressionless_face::expressionless_face::expressionless_face:. way to go 
110	0	hell has frozen over. literally. # texas  number  *
111	1	can you write your name on a paper and take a picture ... — i can but i am busy answering this question oh...  
112	0	its a marshmallow world in the winter :multiple_musical_notes: # get this out of my head *
113	1	taking the bike through rainy and cold dark streets to the dentist. yaaaay. # so much fun *
114	1	reading about barack obama in the barack # obama * plaza # money gall * oh the
115	0	that is the face of a tired man hahahahah
116	1	we want turkey!! 
117	0	 @ username @  happy to be of some small service ;)  @ username @   @ username @ 
118	0	choose your words carefully hurting someone feelings is not the right way to go.
119	1	what a joke. thanks for the detailed response and communication with your customers.   @ username @   @ username @ 
120	0	 @ username @  asalamoalekum... :smiling_face_with_open_mouth: kesay mizaj ? thank you so much. it was posted on  number nd december  number . already there. :smiling_face_with_halo:
121	0	feeling artsy tonight. # artsy home alone vienna student life * @ b&e's apartment
122	0	showed mom this picture of me and @ username @ & says  this is grunge  and she goes  haha!! i love it!  # mom goals *
123	0	 @ username @  explains why inter went all calciopoli over juventus...
124	0	i pray god comes back in america and saves us all.
125	0	# libby * # lane * # appointment * # women * # bishops * # debate * # over * the appointment of the reverend libby lane as the...
126	0	sad that when someone drinks they treat you like shit and will not talk to you.
127	0	we provide a structure that ensures you will successfully invest in real estate.   @ username @ 
128	0	 @ username @  ask a liberal and he will tell you obama got us out of iraq and won the afghan war...and no one ever died under his watch.
129	1	why am i sick? *looks at other tweets* oh yeah sex... # lame *
130	1	working a double on  number  hours of sleep here we go let us get it 
131	1	for those of you that love this time of year.  
132	1	in other news i have not had a good nights sleep in a week. i feel great. 
133	0	the pure # reality * of .
134	0	# diy * change your # mobile cover * every day now. enjoy!
135	1	happy  number nd anniversary to me in sgv. happy ot here in client. woohoo. i loooooove my job. super. more years to go!!!!!!!!! 
136	0	@ username @ because of all the things in life this seems to be in # balance *  music- medicine, @ username @ - doctor #superdaylineup
137	0	@ username @ @ username @ i guess that means msm will dig something up to smear barkley now.#ferguson
138	0	jimi agbaje is a fine man...in respect to public service what notable landmark has he achieved?  tested jimi... 
139	1	@ username @ good thing we had enough # white wine * and # christmas trees * to survive if needed. # chard so hard * # fashion * ;)
140	0	 @ username @  why all the delays?  happy
141	1	the fun part about  number  am drives in the winter, is no one has cleaned the snow yet 
142	0	i miss the days when all my close friends lived in the same city.
143	1	so it is claimed that  number % of all russian athletes take performance enhancing drugs. there is a surprise 
144	0	 @ username @  is that  ?
145	1	shoutout to my mom for being hella supportive of me 
146	1	 @ username @  you may also see flags of isis with him  is this govt and ch nisar do not admit :'(
147	1	 @ username @  that is funny 
148	0	do you want more period related post or do you like how i post some personal things here on instagram? 
149	0	# anal screen * # exotic * exotic brunette gets her little tight butt nailed right on the office desk
150	1	 @ username @  what time is the ufc press conference tomorrow with names of numerous fighters getting cut 
151	0	# terror * on high seas ... fishing boat, allegedly from # pakistan * blows up at sea ......
152	0	# what matters to me is gym holidays work the hell out *
153	1	i like listening to dads truck drivers tell me about them going to the strip joint and their old lady getting mad at them over it  :face_with_tears_of_joy:
154	0	 @ username @  hate it. go back to the old format please.
155	0	 @ username @  its a week joke i have with jessica and my niece:person_raising_both_hands_in_celebration:
156	0	 @ username @  you seriously bought a giant tv to play in the box?
157	1	haha who the fuck says that to someone#truegentlemen
158	0	if you do not want hall to eventually ask for a trade then hope for consistency in the message. change too much you might as well start over
159	0	@ username @ @ username @ wow. that here though, sorry grandpa, we use mac these days # welcome to the world * # never argue with fools *
160	0	@ username @ i liked the first one. never cared enough to watch the sequel(s?). that said, i will only watch the # reboot * because of # chris pratt *
161	0	# working blues enough vacation days *
162	0	 @ username @  the badger crusade continues.  gloucestershire badger patrols triggered by illegal trapping fears  
163	0	 @ username @  i also support instantly murdering  number  year olds with fake plastic guns in public parks...
164	0	auntie just called and said she is on her way.. i better get dressed then :astonished_face::face_with_tears_of_joy::face_with_tears_of_joy:
165	1	ahhh  number  a.m bedtimes, how i have missed you # exam problems *
166	0	nerd # pic collage * having a bit of fun with georgia # nerd chi stm as * # silly billy * @ chilling on my comfy...
167	0	 @ username @  i think it was the hotel owners...
168	0	 @ username @ : one day i want to travel with my bestfriend :earth_globe_asia-australia::airplane:️  done did traveled da world!!  @ username @  :heavy_black_heart:️
169	1	 @ username @   @ username @   @ username @  again fans come second. thanks again 
170	0	when you return in kind then so called friends label you as being unkind. :)
171	0	sometimes i just do not understand anything #stubborn
172	0	that was the cutest thing ever :smiling_face_with_heart-shaped_eyes::face_throwing_a_kiss:
173	1	oh how i love that my ass is too big to fit into my jeans anymore. # big booty bitches *
174	1	 @ username @  does not lucky and fortunate mean the same thing?  
175	0	i enjoy stealing my husband hat every once in awhile :smiling_face_with_heart-shaped_eyes::face_throwing_a_kiss::flushed_face: # he yy all * # good morning *
176	0	 @ username @   @ username @   @ username @  his tweet in the context of his history is what makes it a clear bait.
177	0	insanity is doing the same thing twice and expecting different results
178	1	 number  hours sleep yay loving life 
179	1	wow, look at you hotshot. # is that a joke *
180	0	@ username @ cannot wait to play the # bf hardline * beta with you xd # epic *
181	1	contemplating responding to  @ username @ 's tweet saying  what remains of their pride  but not sure how well that will go down 
182	1	having to be up in four hours sounds great 
183	1	oh and now the district line has major signal failures and delays fantastic!!! 
184	1	 @ username @   @ username @   @ username @  sure that will end well 
185	0	country music & photo editing, my type of morning :black_sun_with_rays:️:multiple_musical_notes:
186	1	lol.. micromax is promising that service?  
187	0	its so hard to choose between the pleasure and the pain # girl * # december * # love * # dream * # strong *
188	1	 @ username @  adrian was raised that way and he made it to the nfl. maybe he thought that would motivate his kid to get there too? 
189	1	she heard him cry and his little fingers & toes were counted and mary exclaimed  he is perfect!   oh mary, you so cray cray. 
190	1	my secret name is lizard squad. i like to ruin people's fun time. follow and rt to a billion and you shall have fun. # psn * # give it up *
191	1	sexist article in the daily fail about men wasting money on cycling - accompanied by recommendation for a handbag costing £ number . 
192	0	 @ username @  you tweet about having a flip phone? now that is the definition of 
193	1	 @ username @  yea we was we too only a couple schools played black & not its a black dominate game 
194	0	do not forget to join @ username @ for # steak * night tonight starting at  number pm! # nyc * # food * # food ie *
195	0	 @ username @   @ username @  i do not think i have ever seen love actually all the way through. i tried once last year. i do not remember it.
196	0	 @ username @   @ username @   @ username @  my,nephew stopped a lot. his long hair. looks like a drug dealer. never smoked anything pills?not an aspirin.
197	0	# q z  number  * asks permission to # takeoff * # tower control * of # suru bay a * yeah..y can go...away.
198	0	@ username @ @ username @  answer  number - more than  number  artists  #winsunburnpasses
199	1	 @ username @   @ username @  not playing out in the provinces like, oh, mississippi. 
200	0	church sign of the day: how would you feel if we celebrated your birthday without you? :speak-no-evil_monkey: # stole em * # the reason for the season *
201	1	@ username @ : @ username @ it has the word man in it!! just as sexist as saying mail man instead of mail carrier. # michigan man *
202	1	did you know ? if you are reading this right now you are not blind...lol. 
203	0	 @ username @   @ username @  yeah & we will not talk about how the bodies of the  number  cops killed in bk were ambulanced immediately. elitism at its finest.
204	1	love this weather 
205	0	 @ username @  psssst. you spelt 'thing'  wrong   
206	0	what day is the sabbath? # follow * # jesus * # christ * # fbc * # fbc j a x *
207	0	tough day in sun # kitsch funny * @ costa teguise lanzarote
208	0	 @ username @  if  @ username @  exclude bf number  maps from the poll... i am going to riot!! i really want seine crossing back :loudly_crying_face: :loudly_crying_face: i would pay for it!!
209	1	i love  number  hour shifts  :weary_face::weary_face::weary_face:
210	1	the whole # misogyny * thing is hanging in there with women from the right . a cat fight now ?, imagine pulling that on the left # pm live *
211	1	yea, yea that is logical. 
212	0	over on cbs at noon is # bal vs mia * fox has # sea vs phi * after the # saints * # nfl *
213	1	so aaron sorkin goes on  @ username @   to talk about not liking the media talking about sony hack? using media to bitch about media? 
214	0	you have no argument because you are insane  @ username @   @ username @   @ username @   @ username @   @ username @   @ username @ 
215	1	# ferguson riot tips * remember, the only way ppl listen is if you burn down their stores  #ferguson # vito and vito * # waar media * # t cot * # y cot *
216	0	my fingers smell like lavashak :)
217	0	# not cie s * # eu * juncker receives birthday surprise: one million signatures opposing ttip and ceta
218	0	# forever * # young * forever # out * forever in # our * # hearts *  #rip # phillip joel hughes * @ username @ @ username @
219	1	last day in naples with my emma girl! :palm_tree::black_sun_with_rays:#soeasytotakeapicwithatoddler #  number  w ks and counting *
220	1	say no more.... # big club *
221	0	 @ username @  anytime! cash is acceptable every where. and can be used toward whatever they want/need.
222	1	 @ username @  nah, it is better we all act like the north korean govt and police people's private thoughts. 
223	0	 @ username @  my  number -year-old got it for me! i think macy's 
224	1	blowing your nose so hard your ears pop is the greatest way to start a wednesday. 
225	1	today's court proceedings, allowing prisoners access to books in england & wales, surely confirms it has time to limit judicial review. 
226	1	yay i love being awake at  number  in the morning :grinning_face::pistol: 
227	0	off to a slow start this morning . :weary_face:
228	1	 @ username @  getting power from wind is so outdated and unsightly, we should be siphoning it directly from the sun by now. 
229	1	really looked forward to waking up this early for finals...... 
230	1	oh how i love listening to fox news in the background while opening presents. 
231	1	those bad anonymous and occupy people did it all because they support white supremacy 
232	1	@ username @ @ username @ well that has a completely well reasoned and thought out argument. you have changed my mind!!! # ferguson *
233	0	 @ username @  yeah no i am still laughing. it is not even that funny and i am still laughing
234	0	 @ username @   @ username @  gotta be a joke about tootin a horn somewhere
235	0	gotta go out with him and the third,forth,fifth...wheels.  # winter thought *
236	1	cc:  @ username @  my last tweet. wayne's world is a great movie. 
237	0	 @ username @   @ username @  zero place for that. when the karma train finds raiola, i hope it has a full head of steam
238	0	earn cash by posting & tweeting!     get started at   #cashforcontainers # home based business * # lol *
239	1	oracle on windows  number . this should be fun! 
240	1	last day of classes # trill * except finals whoop
241	0	you blame him for everything else  @ username @   @ username @   @ username @   @ username @   @ username @   @ username @   @ username @ 
242	1	with dropping oil prices, thank goodness # pm harper * has worked so hard trying to tie our economy to the oil & gas sector. # cd n poli *
243	0	when singing along to songs in korean and there is a part in english, i sing it with a korean accent. why.
244	0	save your work folks. i am offically cntrl-alt-deleting this week.
245	1	i am glad andy can tweet all day but not text me back. # loved *
246	1	: when some masseuses offer  soothing  massages the way reviewers offer stinging criticisms. # masseuse reviewer * # massage criticism *
247	0	@ username @ # it * shows you that apc is a free and fair party#run by intellectuals#and this is what we call democracy dictatorship#
248	0	 @ username @   @ username @   @ username @  how dare you accuse me of being a boomer.
249	0	hungry and hungover # a * # good * # day *
250	0	oi na how am i functioning right now # sleep deprived *
251	0	 @ username @  i literally do not know
252	1	@ username @ @ username @ what does pti do apart from whining? # youth i a cras y *
253	1	true  
254	1	 @ username @   @ username @   @ username @  tells someone to spell correctly while completely fucking up his tweet 
255	1	my solo costume so far is charcoal grey bottoms.... making some real progress. 
256	1	pay ghost soldiers in iraq & cut pay of us # military * # keep your promise * @ username @ @ username @ @ username @
257	1	...but then it started itself and made the windows noise. so starts this exciting day of mine...! 
258	0	 @ username @  me and you are the only ones that love it :smiling_face_with_open_mouth_and_tightly-closed_eyes::father_christmas::party_popper::multiple_musical_notes:
259	0	in need of a rose winee:wine_glass::wine_glass:
260	1	yesterday # peshawar attack * was a top tag and today the only thing twitter nation seems to be concerned about is # pti kept pak first *
261	0	my whole life is just  oh ok .
262	0	leg snapped alike a twig and after i completed my front flip i screamed like a hungry newborn baby
263	0	# succes * # it * # is * # about * # what * # we * # see * # if * # we * just # keep * # hope * # and * # never * # give * # up * # success * # is *
264	1	i can already tell today is going to be a wonderful day 
265	1	 @ username @   @ username @  junior got a rim shot for a 'rim job' joke. 
266	0	found out the reason that weekend closer makes my life miserable is because i am atheist. # hypocrite * # atheist problems * # server problems *
267	1	staying # casual * # monday * # fun day * # oo td * # fashion * # style * # all you need is style * # today i am wearing *
268	0	 @ username @  so so problematic.. god bless her. it is a shame what have we done to pakistan. :(
269	1	# torture report * trending; i was not aware j.k. rowling released her new book.
270	1	 @ username @   @ username @  too sad... local now!
271	1	 @ username @  wtf thanks for saying bye 
272	1	ahh gotta love those december electric bills. 
273	1	 dead? why is this stupidest of memes still perpetuated?
274	1	when someone with retrica wali picture complains about how many filters someone has used in their picture to look pretty..
275	1	great, i have got a lung infection. this is fun. :/   # not fun * # miserable *
276	1	jeez it has a lovely morning out!! :dash_symbol::droplet::splashing_sweat_symbol: :thumbs_down_sign: # ireland * # december *
277	0	 @ username @  i need a spot for my birthday
278	0	 @ username @  i do not think. i know!
279	1	i love when people leave their smelly shoes in my car. it makes my car smell great! 
280	1	@ username @ what is the rush? his leg is still attached right? # dr d abo *
281	1	 number  mph winds make a great hair fan for a photo shoot. :smiling_face_with_open_mouth:
282	1	gotta love working the day after christmas # smelly a *
283	1	is  i have to go...my gelding is struggling with dystocia  a valid excuse...i just want to see the (lack of) reaction # when you see it *
284	1	. @ username @ i love the # gamer gate * concept of harassing and spamming porn at any critics as proof that you are not a hate group.
285	1	the thing i love the most about coming into work early? having everyone ask me why i am here so early. gets me every time. # annoying *
286	1	thanks @ username @ , for nothing. all my family were flying with you from kl to attend my wedding. # everyone can fly * # adelaide route cancelled *
287	0	@ username @ @ username @ # he * did not know that before putting him there#they all reck our country#pdp clans do not deserve another day even months
288	0	 @ username @  could do with someone making me a hot chocolate right now ahaha
289	0	me at restaurants: is there wi-fi? me at beach: is there wi-fi? me at family parties: is there wi-fi? me in hell: is there wi-fi? # wi fi *
290	1	love it when your typing at work and a spider comes out from the keyboard and hangs out between your fingers...  :see-no-evil_monkey:
291	0	do not # text * and # drive * either.
292	1	 @ username @   @ username @  really?! unbelievable! you mean he was a thug & criminal?  
293	0	always going to be an uphill battle, sometimes i am going to have to lose.
294	1	today i do not feel like doing anything 
295	0	in light of the # murders * of two nypd officers inspired by # i cannot breathe * should...
296	0	@ username @ he def came out the closet on that and  number  dunk # rudy gay *
297	1	people at my school only talk about sex and drugs. so awesome 
298	1	perfect time to get really sick  :tired_face::face_with_medical_mask:
299	1	 @ username @  funny 
300	0	the # hardest * thing's # knowing * & # having * the # faith * to # keep * # going *
301	1	bush 'fully informed' of cia methods  no?? really?? shocking... 
302	0	your jedi mind tricks do not work on me service guy.  glad i dropped the car off for the oil change instead of av.
303	1	i often worry that wealth does not  have enough influence in society, so pleased to see this being addressed  
304	0	 @ username @ , @ username @ , women say  number  man asltd them, y so long  number  say sumtin? & the young  number s, where the parents? hotel wit grn ass man? smh
305	0	some  new  vinyl on the turntable tonight. here's to you joe. @ username @ # joe strummer * # sandinist a *
306	1	 @ username @  who you calling bottle job i will take teeth. yeah i am game mate, at training tonight too, i will remember your hat 
307	0	to all those who held back in #  number  * start again in #  number  * as..   @ username @ : it is never too late to start!  
308	1	i am so funny 
309	0	song of the day:  love like winter  - a fire inside.
310	1	thank you occ for being concerned enough about my safety driving to school to cancel classes.... 
311	1	oh sprints i love you  
312	0	# wreath across america * # j a x * it is finnished , # honor * # fallen heros * in jax  
313	1	heading to my nanas place its going to be so fun 
314	1	big thanks to my teachers for the four tests i have to take tomorrow # woohoo *
315	1	last semester i dropped a class because i had to write a  number pg paper. this semester i have had to write  number  of them 
316	0	 @ username @  its my workhorse, practically glued to my hand 
317	1	prevents blood clots! more like stops blood circulation # surgical stockings * # attractive *
318	0	bet that was # limbs * in the sunderland end
319	1	thanks mother nature.. you did not give us as snow day and now my twitter is filled with people complaining 
320	1	you know it is going to be a great day when you are garmin resets itself and you spill some cinnamon down yourself # slow clap *
321	0	@ username @ they are all written out in a gold gel pen waiting! i hate how are relationship consists of twitter messaging # fulfilling *
322	0	 @ username @  you need to, it is an experience to say the least
323	0	 @ username @   @ username @  johny ur cracking me up on facebook chatting up my mate :smiling_face_with_open_mouth_and_tightly-closed_eyes::smiling_face_with_open_mouth_and_tightly-closed_eyes::smiling_face_with_open_mouth_and_tightly-closed_eyes:
324	1	 @ username @  weeeeee! you too! i love that xbox live and playstation network are down due to hackers on christmas. 
325	1	$bidu up  number %. officially announced uber stake. $bidu has market cap of $ number . number  billion. uber should top that in next vc round, right? 
326	0	check this out!  so # ugly * # christmas * # sweater ebay ipad *
327	1	i just love not being able to sleep.. # so tired *
328	1	 @ username @ : so psn and xbox live are both down on a day many people get new video games.  north korean hack? :tired_face:
329	1	 @ username @  tried to cut and paste a tweet from sa mining where they got go green consulting ... it is in my timeline. 
330	1	i seriously loveeeee how much you care 
331	1	you know what is awesome? when all your gear (sliders, dolly, monitor, etc) gets delivered @ the end of filming. # so mad at band hand adoram a *
332	0	dayumm!! chtis brown is ma maaayuun!!:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy: 
333	0	@ username @ now, tomorrow productivity at work would be hampered. # get me toe vc *
334	0	 @ username @ : stay faithful or stay single
335	1	absolutely love waking up to snow 
336	0	 @ username @   @ username @  i believe we have n that has y we suck.
337	0	 number .  yes  was the reply. these are public dollars being used. what is with this lack of transparency around union pearson express? # to poli *
338	1	@ username @ @ username @ @ username @ @ username @ the jets have pick  number  in the  number  draft the irony blows my mind! # nfl draft *
339	1	 @ username @  like i need to be reminded of bp cup competition dates! 
340	0	 @ username @   @ username @   @ username @  awesome! and well deserved.
341	1	 @ username @   @ username @   @ username @  yes! vote for satan ( @ username @ ) in  number !!!! 
342	0	moron, no one has ever said a ball is square # straw man * @ username @ @ username @
343	0	your friends will bring you down because they fucked up what they had males & females  me fool !
344	0	@ username @ @ username @ : that is quite an interesting number coz i managed to read only  number  but i will surely make it in #  number  *
345	1	@ username @ and we know abt the  goal  that (never) crossed the line # holier than thou * # henry is a legend *
346	1	@ username @ is not it obvious # s adh vi * case and # rape * cases are  number  different things. you cannot co-relate both thngs to  number  sentence
347	1	aw thanks mother nature. merry christmas to you too! 
348	1	what an eventful day...  :victory_hand:️
349	0	day  number   joyous day  # december challenge * # picture * speaks for itself # co state guise * # beach peace  number  nd * home#...
350	0	 @ username @   @ username @  no, it is not. wr's are dime a dozen and completely replaceable. which is why the packers will not overspend to retain him.
351	0	japan's # a be * # gets * # the * # mandate * # he * # wanted * # * # but * the # recovery * he wanted: japan's prime minister shinzo...
352	1	i got tampons!  
353	1	for those who can hear us, @ username @ talks about nb power's record number of outages.  time  # transmitter problems *
354	0	# global warming * would be nice right now if it were only true!  call # al gore *  number  burn money  number  # christmas *   #ｆｏｌｌｏｗ
355	0	 @ username @  you truly are my son.
356	1	i just love  number  question tests in the morning. 
357	0	at -- # sketch * # today * # spud she would * # fresh * # fruit * .only.for.eating # for drawing as well * # drawing * # perth *
358	1	 @ username @  will not our national hockey expert at  number  sussex drive join you?? 
359	0	this is what  looks like, right? 
360	0	has @ username @ @ username @ shown up to speak with # z emir be gic * family yet?
361	1	let us all do only squats and deadlifts until we hurt ourselves --really really good trainers # fitness motivation *
362	0	# bbc * # news * -- # thailand * # crown * # prince's * # wife * # resigns * # from * # royalty *
363	0	first photos of the infiniti vision gt concept emerge 
364	0	 @ username @  racism is pooled in liberal democrats. democrats must foment racism and division to maintain control. divide and conquer.
365	1	 @ username @  so, this topless feminist was just looking for someone to love? 
366	1	 @ username @   i feel bad for the american people, now we should invade their country in kill their children so we can save them  
367	1	i am such a good friend...  
368	1	 @ username @  wow, that is just so funny... 
369	1	just flossed and then ate right after # inconvenient *
